[ROOT-INFO]: 2019-07-15 19:20:21,360: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityOnly
[ROOT-INFO]: 2019-07-15 19:20:21,360: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:20:45,496: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,496: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,068: (looking,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,068: [('This', 0.24694048247613418), ('child', 0), ('looks', 0), ('like', 0.0), ('they', 0.04350909838526219), ("'re", 0.20092923842499708), ('posing', 0.0), ('for', 0), ('a', 0.2884445761396642), ('fun', 0), ('picture', 0.23521226366585207), ('.', 0), ('Could', 0), ('be', 0.24379422288934668), ('out', 0), ('with', 0), ('their', -0.0005461061010032525), ('parents', 0), ('having', 0), ('fun', 0.0), ('?', 0), ('It', 0.050403833236915725), ("'s", 0), ('kind', 0), ('of', 0), ('happy', 0), ('looking', 0.2693608072684252), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (child,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (badly,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (badly,RB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (burn,VBN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (burn,VBN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (and,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (injure,VBN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: Synonyms of injure: ['wound']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (his,PRP$)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (his,PRP$) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (his,PRP$) Categories: ['fps', 'pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (look,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: Synonyms of look: ['flavour', 'flavor', 'feeling', 'smell', 'spirit', 'feel', 'tone']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: Synonym For look: feeling -> 0.45353347933289767
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (kind,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (of,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (helpless,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (helpless,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (helpless,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (feel,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (feel,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (feel,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (really,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (bad,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (bad,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (for,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (boy,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (boy,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (also,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (hate,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (hate,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (hate,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (blood,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (blood,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (there,EX)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,084: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,100: (so,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,100: (much,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,100: (blood,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (blood,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (his,PRP$)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (his,PRP$) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (his,PRP$) Categories: ['fps', 'pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (skin,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (like,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (like,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,101: (go,VBN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,102: [('This', 0.24694048247613418), ('child', 0), ('looks', 0), ('badly', 0.0), ('burned', 0.11269102990033211), ('and', 0), ('injured', 0.0), ('.', 0), ('His', -0.0005731074346123639), ('look', 0.22676673966644884), ('kind', 0), ('of', 0), ('looks', 0), ('helpless', 0.48563752441051583), ('.', 0), ('I', 0.04225300877561784), ('feel', 0.2521370294821231), ('really', 0), ('bad', 0.0), ('for', 0), ('this', 0.24694048247613418), ('boy', 0.0), ('.', 0), ('Also', 0), (',', 0), ('I', 0.04225300877561784), ('hate', 0.13090267012526827), ('blood', 0.0), ('.', 0), ('There', 0), ("'s", 0), ('so', 0), ('much', 0), ('blood', 0.0), ('.', 0), ('His', -0.0005731074346123639), ('skin', 0), ('is', 0), ('like', 0.0), ('gone', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (boy,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (boy,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (wear,VBG)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: Synonyms of wear: ['wearing']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,116: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,120: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,120: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,120: (mask,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,121: Synonyms of mask: ['masquerade', 'masque']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,121: (kind,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,121: (of,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,121: (like,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,121: (like,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (one,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (from,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (Silence,NNP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: Synonyms of Silence: ['silence', 'muteness']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (of,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: (Lambs,NNPS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,122: [('This', 0.24694048247613418), ('boy', 0.0), ('is', 0), ('wearing', 0.0), ('a', 0.2884445761396642), ('mask', 0.0), (',', 0), ('kind', 0), ('of', 0), ('like', 0.0), ('the', 0.26040094726988117), ('one', 0), ('from', 0), ('Silence', 0.0), ('of', 0), ('the', 0.26040094726988117), ('Lambs', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,139: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,139: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (boy,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (boy,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (get,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (appropriate,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (appropriate,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (appropriate,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (treatment,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (treatment,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (treatment,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (and,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (eventually,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (eventually,RB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (eventually,RB) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (recover,NNS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (good,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (as,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (new,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (his,PRP$)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (his,PRP$) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (his,PRP$) Categories: ['fps', 'pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (loved,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (one,NNS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (be,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (be,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (be,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: (there,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,140: [('This', 0.24694048247613418), ('boy', 0.0), ('gets', 0), ('appropriate', 0.09085383550534111), ('treatment', 0.20460752048800063), ('and', 0), ('eventually', 0.13497660633039654), ('recovers', 0), ('good', 0), ('as', 0), ('new', 0), ('.', 0), ('His', -0.0005731074346123639), ('loved', 0), ('ones', 0), ('are', 0.20092923842499708), ('there', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (body,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (body,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,172: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,173: (very,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,173: (bloody,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (there,EX)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (something,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (something,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (something,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (in,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (his,PRP$)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (his,PRP$) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (his,PRP$) Categories: ['fps', 'pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (mouth,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (mouth,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (but,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (can,MD)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (not,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (tell,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (tell,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (tell,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (what,WP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (it,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (it,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (it,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (for,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (treatment,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (treatment,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (treatment,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (hope,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (or,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (she,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (she,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (she,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (will,MD)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (will,MD) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (will,MD) Categories: ['future_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (be,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (be,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (be,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (alright,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (alright,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: (alright,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,174: [('This', 0.24694048247613418), ('body', 0.0), ('is', 0), ('very', 0), ('bloody', 0), ('.', 0), ('There', 0), ('is', 0), ('something', 0.2622858158034072), ('in', 0), ('his', -0.0005731074346123639), ('mouth', 0.0), ('but', 0), ('I', 0.04225300877561784), ('ca', 0), ("n't", 0), ('tell', 0.20105610566020793), ('what', 0), ('.', 0), ('I', 0.04225300877561784), ('hope', 0.26926471406688113), ('it', 0.050403833236915725), ('is', 0), ('for', 0), ('treatment', 0.20460752048800063), ('.', 0), ('I', 0.04225300877561784), ('hope', 0.26926471406688113), ('he', 0.051641248360820784), ('or', 0), ('she', 0.06309890944723907), ('will', 0.21716624123219505), ('be', 0.24379422288934668), ('alright', 0.3621341358827668), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (like,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (like,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,190: (in,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,205: (awe,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,206: Synonyms of awe: ['veneration', 'fear', 'reverence']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (think,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (think,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (think,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,207: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (hold,VBG)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: Synonyms of hold: ['keep', 'maintain']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (onto,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (parent,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: ('s,POS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (finger,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (which,WDT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (cute,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (healthy,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (healthy,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: (healthy,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,208: [('This', 0.24694048247613418), ('baby', 0), ('looks', 0), ('like', 0.0), ('he', 0.051641248360820784), ("'s", 0), ('in', 0), ('awe', 0.0), ('.', 0), ('I', 0.04225300877561784), ('think', 0.1687495190146021), ('he', 0.051641248360820784), ("'s", 0), ('holding', 0.0), ('onto', 0), ('a', 0.2884445761396642), ('parent', 0), ("'s", 0), ('finger', 0), (',', 0), ('which', 0), ('is', 0), ('cute', 0), ('.', 0), ('The', 0.26040094726988117), ('baby', 0), ('looks', 0), ('healthy', 0.26874372943594993), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (like,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (like,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (or,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (she,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (she,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (she,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (need,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (intensive,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (intensive,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (intensive,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (care,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (hope,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:21:24,224: (hope,VBP) exists in scoring bank
