,Serial,Sentence,Objective Rating,Far Away Rating
1663,1664, A person's head is covered in scar tissue from a burn.,5.0,1.5
4487,4828, This man's throat was slit.,7.0,1.0
3420,3421,"they are clearly bonkers in their belief that the world is flat, and when you look at this you might think that this is because they are living in a filter bubble.",2.5,2.5
2086,2087, There is a map.,5.0,3.0
1296,1297,A man looks forlornly out the window to a white building and white tree.,2.5,3.5
7260,7601, The man looks annoyed.,2.0,1.0
3139,3140, his arms were crossed a long time ago in a place far from here.,5.5,5.5
3360,3361,A person has a gash on the side of their head which is very terrifying to look at and makes me feel uncomfortable.,4.0,1.5
5616,5957,"Americans don’t talk to each other, we entertain each other,” Postman wrote.",2.0,4.0
3796,4137,A group of young men accost someone in his car.,7.0,4.0
7976,8317, Feels like what a photo of someone who is like 30 now would have as a baby photo.,2.0,4.0
9561,9902, A small black child is running with some food while a man with a gun is in the background.,4.5,3.0
2644,2645, A woman with large glasses stands in front of an assignment that has received an A grade.,5.5,2.5
10602,11144, He has a beard.,7.0,3.5
2600,2601, Almost like he's at a wedding? Kinda makes me feel nostalgic.,2.5,3.0
1720,1721, She's wearing a super frilly outfit.,3.5,2.0
2403,2404, The woman had curly hair.,6.0,2.0
11927,12969, There is an argument between two people very far away from me.,2.0,5.0
4441,4782, The guy is staring at me while he looks kind of sad.,3.0,1.0
8201,8542, This is extremely unsettling.,1.3333333333333333,1.0
6916,7257, He looks concentrated.,1.0,4.0
6745,7086,The baby was in the hospital.,7.0,2.0
6590,6931, There is a man who seems to have experienced severe chemical burns all over his face and chest.,5.0,5.0
7232,7573, This is an image of a man looking into the camera.,5.0,1.0
3992,4333, there is a man with a towel wrapped around his mouth holding a gun .,5.0,4.0
3234,3235, This is a photo of a small child reading a book in a chair.,6.5,5.0
9749,10090,Perhaps it's more efficient to allow computer scientists to do what we're best at—writing code—and have other people regulate our products?,3.0,3.0
3657,3658, it could be a girl but she's looking down.,4.0,3.0
11017,12059, Her lips and left eye appear bruised.,6.0,1.0
5371,5712,"And when you live in the ocean,” she continues, “treading to stay afloat, you eventually get the feeling that one day, inevitably, there will be nowhere for you to go but down.",3.0,3.0
10963,12005, There is blood all over his face and chest.,7.0,1.0
5670,6011, I like the baby's cute expression of amazement.,1.0,
8970,9311,Someone's face is extremely bloody and battered.,5.0,5.0
10941,11483, There was a group of men some time ago who wore black except for the guy in the middle.,6.5,5.0
11319,12361, Almost like after a volcano.,3.0,1.0
2704,2705, A close up picture of a girl with long hair glancing to the side as if avoiding eye contact or being contemplative.,4.0,1.5
4673,5014,This is an ideal spot for enjoying theatrical experiences because these venues are surrounded by the great outdoors – a perfect blend of art and nature.,3.5,2.5
7406,7747,"Speaking at a conference two years ago, Microsoft’s CEO displayed a slide featuring the book jackets of 1984 and Brave New World.",7.0,3.0
6098,6439," The skin is cut open, revealing the bloodied insides of some person.",7.0,
6246,6587,I try to enter and engage that bored space.,2.0,4.0
9717,10058, this is an extremely I picture of a child who was in accident far away and is really bloody.,2.0,6.5
10864,11406,The shuttering of once-mighty video-rental chain,5.0,3.5
3467,3468," The woman and child are facing each other, and the woman seems to be gesturing in a sort of manner that captures her anger.",4.5,2.5
11994,13036," he looks sad in some way, and he is wearing a grey shirt and blue pants.",4.0,2.5
4975,5316, A stock photo image of a woman holding a man by his collar and screaming into his face.,6.0,3.0
1839,1840," It looks like the couple are in the middle of an argument, even though they are not yelling at eat other.",2.5,2.0
7222,7563," The one on the left is smiling at the one in the middle, and the two on the right are looking forward.",7.0,2.0
9825,10166," It has a pink blanket draped over its head, and the background is white.",6.0,1.0
2330,2331, There is a hole where the nose should be.,6.0,2.0
11451,12493, He has blue eyes.,7.0,1.0
5821,6162,Just a man sleeping .,7.0,
3211,3212, The hand is curled.,6.5,2.0
10361,10903, The baby has no teeth yet and not much hair and is wearing a striped top.,4.5,3.0
3463,3464," The woman is grabbing what looks like flower petals or red butterflies, while a man in blue stands in front of her.",6.0,2.0
10925,11467, A man is holding a knife to a woman some time ago in the past.,6.0,5.0
11473,12515, I dream to be like this picture!!!! it is very hopeful.,1.0,2.0
5211,5552, This is in the past.,2.0,7.0
6342,6683,There is an old man holding a curtain and looking out the window.,6.0,5.0
401,402, There is a woman with glasses who is in the middle of talking.,7.0,1.0
11737,12779," young white child looking at camera, yellow lighting, curly blonde hair, looks neutral/scared a bit, large eyes, very cute.",5.0,4.0
8825,9166, There is a man whose throat has been slit.,6.0,6.0
6053,6394, There are some trees outside of the window.,7.0,
6101,6442, There's a guy with a knife and the knife is blurred like it's moving and he's wearing one of those cheesy masks that robbers wear in movies.,7.0,
10293,10835,There is a premature baby.,6.5,2.0
2157,2158,"Mind you, I'm mentioning two problems here, but as publishers, the focus isn't to specifically support those two causes.",5.0,5.0
3827,4168, A man is seated in a bed with his arms up on a bar.,7.0,2.0
3838,4179, His hand is gripping onto a bar overhead and he has an IV hanging from his arm.,7.0,1.0
5064,5405, The child is from centuries ago.,6.0,6.5
4614,4955, They look like they are being raised in the 70's/80's based on their clothes.,2.0,1.0
714,715, This is an image of a woman getting abducted into a van.,7.0,3.0
11679,12721, the old man is planning on eating his leftover food.,2.0,4.0
6553,6894, I feel happy looking at the picture: the yellow and blue and the happy flowers are so cheery.,2.0,5.0
453,454," A body is buried in the dirt, and it looks like a young child.",7.0,1.0
3335,3336, An individual is shown to have some sort of eye disease.,5.5,2.5
2508,2509, A man pointed a gun at another man's head but this was in a city far from here and occurred many decades ago.,7.0,7.0
10769,11311,A man is laying down next to his window.,6.5,4.0
2722,2723, This looks like Half Moon beach where some of my family friends live.,3.5,2.0
6357,6698, There is a person with a mutilated and bloody face.,4.0,5.0
9430,9771, Man about to play the violin.,3.5,3.0
8681,9022, this is a man wearing a ski mask with blue eyes.,5.5,2.5
3153,3154, There is an extremely graphic image of a human body that has been destroyed in many ways.,4.0,4.5
2570,2571, he looks excited.,3.5,2.0
7826,8167, her head has a headband on it.,6.0,2.0
10781,11323, A man in regular clothes is running while two camouflaged men in the bushes .,7.0,4.5
7080,7421, she is staring intently .,5.0,3.0
2046,2047, It is gruesome to look at.,2.0,3.0
10596,11138, This is a sad picture it looks like she has been abused.,4.0,3.0
943,944, This is a picture of a judge with wrinkles on his face.,7.0,2.0
11756,12798," There is a couple fighting, and a little girl holding a teddy bear is watching them.",4.0,5.0
4704,5045, This baby is so cute and it has a pink towel on its head.,3.5,2.0
1290,1291, He looks a little threatening? Maybe.,3.5,3.5
40,41, The hand is holding a knife.,7.0,1.0
665,666, This teacher looks very surprised and is probably confused at something one of her students has done or said.,1.5,1.5
2841,2842, White guy who is staring into the camera.,6.5,2.5
8698,9039, The girl is upset but it's hard to tell why or what she's doing in the photo.,4.0,3.0
2764,2765,"But some online trolls labeled the incident a “false flag,” insisting Welch had been hired by Clinton to distract from her crimes.",3.5,2.5
6570,6911,We already have all the facts and solutions.,1.0,5.0
1501,1502, Did these people just break up? She looks like she is crying and throwing a rose at the guy in anger.,3.0,5.5
7791,8132,"“We’re closed,” I said.",7.0,1.0
3374,3375,One of the things we’re constantly told is that basic decency is gone in America.,5.0,1.5
4401,4742, a body is covered in wounds.,7.0,1.0
9766,10107,Can I make that suggestion for all of us in this glorious season?,3.5,1.0
10889,11431,He is so annoying he keeps talking and repeating himself.,3.5,3.0
966,967, Cute baby hanging out again.,1.5,2.0
7009,7350, seeing a child cry is also very heartbreaking.,3.0,4.0
10537,11079, His face is not very emotional.,4.5,3.5
4359,4700, Center guy is holding  a gun while the group as a whole is staring .,7.0,1.0
11236,12278, He is wearing a suit.,7.0,1.0
9591,9932, There is a man who has a gun pointed directly at the camera and there is a light shining in his eyes .,5.5,2.0
4299,4640," somewhere in the world, someplace in time, a man seems to have struck a woman in the face.",7.0,4.0
11013,12055,We all crave to be loved on.,1.0,1.0
7492,7833, Some sort of factory where a white woman is inspecting equipment and a black man is recording .,,2.0
6027,6368," white man ""smizing"" at the camera, hair looks nice, wearing black jacket with collar, red background, blue eyes.",7.0,
99,100, this is really unpleasant the body looks really mangled and gross.,4.0,1.0
9726,10067," This is a close-up image of a woman's eyes, which have become swollen and moisturized.",6.5,1.5
409,410, There was a child who needed medical attention.,7.0,1.0
8060,8401,"According to Vasquez, the Texas government is still viewing San Antonio through horse blinders.",3.0,2.0
5992,6333, I hope they can drive away or at least get out of this situation alive.,1.0,
2567,2568, The child has a teddy bear in her hand.,7.0,2.0
2654,2655, He just witnessed something that made him sad and afraid.,4.0,3.0
4303,4644, This person looks very sad like something has just happened to them.,3.0,1.0
699,700," It seems to be a baby girl, as she is wearing a dress.",1.0,2.0
9016,9357, I feel awkward with a guy with beautiful eyes staring into me but also slightly scared because he looks intimidating.,1.0,7.0
56,57," If this is a person, what happened to them? Can barely make out their features, but I can't judge .",3.0,3.0
7748,8089, He is not smiling but he is looking with purpose towards the camera.,5.0,2.0
2945,2946, the women had a horrible pain when she was burnt to death.,4.5,3.0
11792,12834, The person in this photo is holding a cigarette.,6.0,6.0
2725,2726, there is a man holding a knife and wearing a ski mask.,7.0,2.5
3743,4084,I can't tell what this is.,1.0,4.0
6396,6737, there is a woman who is pushing away a man while her eyes are closed the image is blurry .,5.0,5.0
6497,6838,They ultimately pushed the lie that my pizza restaurant was being used to abduct children and commit heinous crimes.,3.0,4.0
3304,3305, She looks very upset with him and he is turning away.,3.0,2.0
4422,4763, One is African American and the other is white.,7.0,1.0
11367,12409," There is a couple, and they seem to be very sad and emotional right now.",3.0,1.0
4962,5303," I don't know what happened, but he does not look very healthy.",4.0,2.5
6083,6424, This pictures makes me laugh because it reminds me of my mom coming and yelling at me as a grown kid which is pretty relatable for Asian.,1.0,
9285,9626, A baby is looking at the camera and smiling.,3.5,2.0
9667,10008, A soldier is pointing while a civilian with a bloodied shoulder and blood-stained pants is running.,5.0,2.5
37,38, and the baby has a cute expression .,2.0,2.0
9850,10191, It is snowy outside.,5.0,2.0
639,640,two adults argued a long time ago.,3.5,7.0
3392,3393, This picture feels pretty neutral to me.,2.5,3.0
6514,6855, It is hooked up to a large number of tubes and life support devices.,4.0,5.0
9978,10520," at that time the boy's cheek was torn open, he had been staring ahead and in that place he was at.",5.5,4.5
7290,7631, The blue and yellow make the picture seem filled with energy.,1.0,1.0
10704,11246, The body looks burned or seriously injured in some other way.,5.5,3.5
9875,10216,"Really riveting stuff, as you can tell.",5.0,2.0
549,550, The mom is gesturing with her hands while the father stands there and is listening.,5.5,2.0
5541,5882, Her hair is blonde and curly like my little brother's .,3.0,1.0
7254,7595,"In other words, they have turned fact into opinion.",4.0,1.0
1643,1644, His/her flesh is rotting.,5.5,2.0
3727,4068, There is a very graphic and deformed figure.,2.0,3.0
8431,8772, the baby is looking up towards the camera placidly .,5.666666666666667,2.6666666666666665
3086,3087," A long time ago, far away, a man was holding a knife to a woman's throat, covering her mouth.",6.0,4.0
1197,1198, There is a what looks like a small kid or a woman on a gurney; she probably is bad injured.,3.5,4.0
3249,3250, she has blonde curly hair.,6.5,3.5
4326,4667, This child looks like they were posing for a formal picture a long time ago.,4.0,7.0
9860,10201, he is not saying anything but looks like he might say something soon.,5.0,1.0
2656,2657, The baby is really cute and the picture makes me feel happy.,1.0,2.0
6320,6661, This is a picture of a young child whose face and front of his/her body has been burnt off or irritated in some way.,4.0,5.0
4227,4568, The man is looking at his granddaughter.,7.0,1.0
4508,4849," Long time ago, far away, someone was pointing knife at a woman's neck.",7.0,7.0
10075,10617,And so Mark Sanchez becomes the latest in a long line of would be Jets saviors shuffles off his mortal career coil and ascends into the eternal afterlife that is a career in broadcasting. ,3.5,6.5
1318,1319,"But according to the 23 influencers interviewed for this story, it took on average between one and two years (and between 10,000 to 20,000 followers) before they began to receive significant monetary compensation from working with brands — and even longer to begin to cover their living expenses.",4.5,5.0
4141,4482," Makes me a bit uncomfortable, but he isn't doing anything inherently bad.",2.0,1.0
8097,8438, His face in the shadow.,7.0,4.0
3741,4082, there is a man standing outside cutting something on a wooden table.,5.0,4.0
10784,11326,Makes me relaxed and reminds me of how much I want to lay down and just have no worries.,5.0,3.0
2463,2464, A woman has smeared mascara and is looking distraughtly at the camera.,4.0,2.0
9596,9937, It looks like a picture of a teacher.,3.5,3.0
2986,2987, A man is slapping a woman in a form of abuse.,5.0,2.5
10427,10969, There are two kids reading a book together.,5.5,2.5
337,338, The lady is for sure dead and she has been dead for a while.,7.0,2.0
8654,8995, Probably going on a cruise.,4.333333333333333,3.0
2898,2899, He looks confused.,2.5,3.0
4908,5249,There is a man smiling at the camera.,7.0,3.0
10460,11002, there is a little baby girl with her mouth wide open and has a face of shock/surprise.,4.5,3.0
2271,2272, Man and woman tossing up child who is holding his nose.,6.0,3.0
5647,5988, The black girl is sad and the boy seems to not care.,3.0,2.0
2153,2154, He might be in the closet as a punishment.,5.0,3.0
4743,5084," This also looks like an older picture based on the phone, her curly hairstyle, and the aesthetic of the picture.",4.5,6.0
848,849, There are bodies on the floor.,7.0,1.0
11226,12268, A man is crouching while literally being on fire.,4.0,1.0
2291,2292,"The guy at the center of perhaps the greatest single play in NFL history: It's been called the ""butt fumble"" and it's easily one of the worst plays in QB Mark Sanchez's career and in the history of the NFL.",4.0,2.0
11379,12421,Counting walks and swimming in lakes and bike rides to breweries as workouts in and of themselves.,4.0,4.0
8828,9169,But the Internet has a way of taking the simplest ingredients and making a huge mess.,3.0,5.0
11052,12094, this is a man grabbing the mouth of a woman and holding some kind of object (maybe a knife) near her throat.,5.0,2.0
6123,6464,a hand is severed.,7.0,
6536,6877,"The kind of partner I’d like shows up for it all.
",3.0,5.0
10211,10753, she is not smiling and looks focused.,4.0,2.5
3603,3604," this happened a long time ago, little girl is sacred.",3.0,2.0
8992,9333,"She got the shot she wanted, though — windswept hair, Manhattan skyline perfectly framed in the background.",2.0,5.0
1566,1567, I am absolutely mortified by this because I feel like this kind of occurrence is commonplace.,1.0,1.0
11790,12832, He seems to have been beaten bad.,3.0,4.0
6081,6422," They both look slightly distressed, but that could also just be neutral facial expressions.",2.0,
4228,4569, He is holding a violin and its bow in his right hand.,7.0,1.0
1785,1786, a man in a poor country with a bad skin condition.,4.5,3.0
11120,12162,The man is looking out the window.,7.0,1.0
10922,11464, There is a man and a woman that are pretty blurry.,6.0,3.0
2550,2551," Somewhere in the world, someplace in time, an individual wears a mask.",6.5,7.0
4049,4390, The body is from the past.,5.0,7.0
3281,3282, Two friends are eating at lunch.,5.5,2.0
3062,3063, this guy went through a lot.,1.5,2.5
8596,8937, Those are some pretty nasty burns.,2.6666666666666665,2.3333333333333335
6084,6425, He has a nice tattoo but he definitely did something wrong.,3.0,
7163,7504, She looks very injured or dead from the fire.,3.0,2.0
8945,9286," a long time ago in a place far away, a man was holding a knife and was about to stab something with it.",3.0,4.0
4247,4588," There is presumably a couple sitting on a bed with their arms crossed, not looking at one another.",5.0,1.0
7797,8138, There is a man staring at the camera and he has a very serious expression.,4.0,2.0
3387,3388,"(Full disclosure: Paul Singer, who runs the hedge fund that bought the bookstore chain, is a backer of the Washington Free Beacon, where I work full-time.)",4.5,5.5
8987,9328, She has her head buried in the book.,6.0,2.0
11965,13007, the person holding it seems to be wearing a denim jacket .,6.5,1.5
8922,9263, There was a man who had a sword pointed at his throat and there is someone in the background.,5.0,6.0
4334,4675, The father seems to be happy and very attentive.,4.0,1.0
7417,7758," 2 white women eating salads together at restaurant, having conversation, one ginger hair other brown hair, wooden chairs.",2.0,2.0
11589,12631, A man with pale face staring ahead.,5.0,6.0
4337,4678,The baby is reaching towards her mom's hand.,6.0,1.0
8608,8949,"An industry rule of thumb mentioned by many influencers I spoke to is that you could expect to make 1% of your following per post (someone with 10,000 followers could charge $100 for a sponsored post, for example).",6.0,3.0
8306,8647, he is annoyed or a little irritated.,3.6666666666666665,2.3333333333333335
11031,12073, This photo is very cute and makes me feel happy.,1.0,1.0
1981,1982,I signed up for another.,7.0,1.0
4293,4634, he is sitting down at a table.,7.0,1.0
6970,7311, it certainly does not feel like she is ok.,3.0,3.0
3715,4056," There is a body that has wounds, and the body is on a yellow cover.",7.0,1.0
2591,2592, A body is shown with I think its stomach? leaking out.,4.5,2.5
6501,6842, The boy stands against the wall and stares at me.,6.0,4.0
628,629," Next to her left hand is a bottle of pills, some of which are in the bottle and some of which are on the bed.",7.0,1.5
1869,1870, A man with green eyes and partially green hair looks at the camera.,6.0,2.0
9656,9997,The man is looking outside the window.,6.0,4.0
7103,7444," He has a bushy, white beard and a cap.",6.0,4.0
4521,4862, Makes me feel very happy.,1.0,1.0
974,975," A man is slapping a woman, who looks like she might be his romantic partner.",3.5,2.0
4671,5012, A mom is upset at her daughter.,4.0,1.0
11041,12083, a man with a stocking covering his face has rifles laid out on a bed.,7.0,1.0
4107,4448, I don't know what's in his mind.,6.0,4.0
539,540,You know that?,2.5,1.0
6665,7006,"It’s a snack to appease the troll (okay, what do trolls even like? Answers to riddles? Arm wrestling?).",3.0,4.0
11254,12296, They've been super badly burned on their entire body.,5.0,1.0
10485,11027, A man stares slightly at the camera while wearing a suit.,6.5,5.0
1637,1638," burned all along the body, kid is in pain, might even be acid or something, painful.",3.5,1.5
5777,6118, Makes me feel a bit sad for him since he seems lonely.,1.0,
11576,12618, Perhaps for the back of a book he just published? Or an album he just released?.,3.0,4.0
11597,12639, A corpse with a lot of injuries an open stomach and blood on the chest and bruise face .,6.0,6.0
8523,8864, A woman is holding the head of a dead man.,6.666666666666667,1.6666666666666667
10364,10906, suicide is always depressing and gives hopelessness.,1.5,3.5
6903,7244, These two children (I'm assuming brother and sister) are walking to the beach together! Such a sweet life and in such contrast to the other images in this test.,3.0,4.0
9416,9757, A little girls stands in front of a car with an open front driver's door.,4.5,2.5
2458,2459, It looks like there is a baby either being buried or unburied.,4.0,4.0
7570,7911, Also has something in his mouth .,,1.0
1145,1146, She is trying to resist.,3.0,3.5
6360,6701, The hand is blurry as if in motion.,5.0,4.0
10994,12036, a stock photo of a man and woman on a couch.,7.0,1.0
212,213," While it is pretty staged, it makes me feel bad as it reminds me of memories I try to forget.",3.0,3.0
11214,12256, I'm kinda confused on what's happening in the photo.,1.0,1.0
9160,9501,And Jody Rosen’s stunning feature “The Day the Music Burned,4.5,2.5
10887,11429," There is a man looking ahead, he looks disappointed, he is wearing a hat, and he looks like he is by himself.",4.5,4.0
10597,11139, There is a girl with a pail in one hand and her brother's hand in her other hand.,6.0,4.0
5421,5762, Military personnel appear to be holding onto a very injured man as he tries to get away.,4.0,3.0
10513,11055, Naturally he is an old white man but that doesn't make him bad but of course he is.,4.5,4.5
2812,2813, A zebra is being cut somewhere very far away from me.,4.0,7.0
5952,6293,"So, we don't have a filter bubble, at least not for the younger generation.",1.0,
11669,12711, There is a man and a woman fighting in a kitchen and a small child holding a teddy bear watching them fight.,4.0,5.0
2913,2914,"Although I’m an even-keeled person and daily meditator, I’ve still had to face challenges over the last eight years that I never saw coming and required all my strength to endure.",1.0,3.0
10504,11046,"The quantifiability of that very real loss is what’s so fascinating: Some films, particularly those that aren’t profitable to reproduce in a new format, are simply getting lost over time.",5.0,4.5
7209,7550, A baby is sitting in a play chair.,7.0,1.0
47,48, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,7.0,7.0
5921,6262,A man is lying down next to a window.,7.0,
10279,10821, A car has skidded and slammed into a telephone pole on its side.,6.0,3.5
4076,4417, I like the weather; it looks nice and sunny.,2.0,6.0
2732,2733," I can't tell much else from this picture, besides the background is grey.",4.0,3.0
7493,7834,a man is smiling.,,1.0
8829,9170,A man has an ugly mustache suited to the 70's.,1.0,3.0
10390,10932, Lots of hair on head.,5.5,2.0
1012,1013,"If you look at it from the right angle, this type of blogging begins to resemble a cousin of multilevel marketing (MLM).",3.0,6.0
4180,4521, The man in his room practiced shooting with a fake gun.,7.0,3.0
11721,12763,God usually gets name-checked.,2.0,5.0
7785,8126, The photo makes me feel happy and more calm.,2.0,2.0
1111,1112,We have a president whose tweets elevate our heart rates daily.,1.0,4.0
7251,7592," In a faraway country, two people were armed and were firing through a doorway at some unknown subject.",1.0,7.0
11233,12275, the baby looks very thin and his skin is hanging off.,4.0,1.0
7069,7410,A red and white flesh like substance.,4.0,2.0
1918,1919,"In the beginning, I was using $2,000–$3,000 of my savings per month, and was only making $50 to $100 per post,” she says.",7.0,2.5
3908,4249, there's a farm with people picking berries.,7.0,1.0
10681,11223," Person is covered in burns? Blisters? It is hard to look at, but I hope they are alive.",5.5,3.5
7610,7951, I wonder if this is a burnt skin or something else.,,1.0
2441,2442, They may be dead or unconscious.,4.0,3.0
4611,4952, A photo of a man threatening a woman with a knife at her neck.,7.0,1.0
2422,2423," A woman is looking down with her hands on her head, as the other woman is speaking to her.",5.0,3.0
10993,12035," at that time, he was held at gunpoint by a man in glasses.",6.0,1.0
11919,12961," I feel nauseous and just distressed looking at them and just feel really, really bad.",1.0,1.0
880,881, their eyes are huge and they look unstable.,3.5,1.0
2303,2304,He preferred a more experiential approach to creating the chaos of battle on set and finding the best way to capture it.,6.0,4.0
3544,3545, A little girl is holding her teddy bear while watching her mother yell at her father.,6.0,2.0
1666,1667, This is probably from the past.,2.0,3.5
11084,12126,A man looks outside his window.,7.0,1.0
1081,1082, A guy is holding another guy by the collar and trying to get something from him.,4.5,4.5
8651,8992, There is a man who is staring with a concerned or surprised expression.,5.0,2.0
4142,4483," young black boy with half his jaw bone, can see teeth and inside skull and mouth, looks like it was chopped off, not a lot of blood though.",6.0,1.0
4826,5167, he has a tattoo on his arm and she has a furrowed expression.,4.5,1.5
515,516, there is a baby looking at the camera the baby is on a pillow.,7.0,1.5
11537,12579, A white man with a gun yells at a black driver in a vehicle.,7.0,6.0
4140,4481," There is a lamp, and the people are faced away from each other.",7.0,1.0
802,803, A man has been dead for a while and the police officer is looking at him.,6.0,5.0
9912,10253, they are on vacation and she has bought a large basket of flowers .,3.0,1.0
10310,10852, A young person's naked body is lying on a canvas.,6.0,2.5
9119,9460, That man looks interesting.,2.0,4.0
5048,5389, There general vibe is positive.,4.0,1.5
2614,2615,Julia P: The Surrender Experiment and Breaking the Habit of Being Yourself are great books about meditation.,1.0,2.0
8216,8557, this looks like a man who just hit a woman.,2.3333333333333335,2.0
8369,8710," A woman is on a bed, she is unclothed from the waist down.",7.0,2.3333333333333335
438,439,And pass.,7.0,2.0
10952,11494, A dad with her ill kid he seems sad and the kid is suffering.,4.0,3.0
4531,4872,there's a cute chubby baby looking up and holding a hand.,2.0,1.0
8878,9219, The hand has a watch on it and light .,7.0,1.0
680,681, the other people are casually dressed.,2.0,1.5
5402,5743, He seems worried and strangely in focus while the woman.,1.0,1.0
149,150, He looks sad.,3.0,1.0
11779,12821, his face is pretty expressionless and is kind of in shadow except for his eyes.,5.0,3.0
1454,1455, I am disturbed by this image.,2.0,3.5
8815,9156, Or if this is all they found of someone.,2.0,3.0
2752,2753, This seems to be the same people from the other stock photos.,3.0,3.5
947,948, The gun is silver.,7.0,1.0
5176,5517,DiMicco wants to start a brand or website or “any sort of company.,3.0,4.0
2123,2124, This guy has been burned really bad.,5.0,1.0
6096,6437, There is an audience of some sort in the background .,7.0,
11492,12534, they are holding hands and could be friends or siblings.,6.0,7.0
9439,9780, it is hard to tell.,1.5,1.0
8155,8496, This is a close up photo of someone with their throat slit.,6.0,1.0
6364,6705, Whoever is behind the camera has greatly amused them.,3.0,5.0
2572,2573,"More established salespeople earn a commission from the sales made by their recruits, hence the “multilevel” dimension.",6.0,2.5
6204,6545," He is from a European country, He is wearing a polo.",1.0,3.0
7455,7796, He is shown from behind but I can imagine his eyes closed.,5.0,2.0
8084,8425, he is in a shadow.,6.0,2.0
11772,12814, This is a person with severe wounds.,5.0,4.0
11980,13022," There are three men, two wearing all black and one shirtless with a gun and black bandana.",6.5,2.5
2337,2338, Looks like an alien movie because of the very yellow glow from the heating.,4.0,4.0
11157,12199, A man is badly burnt and looks in severe pain and looks shocked.,4.0,1.0
5154,5495," She was upset about something, and she was smothered.",4.0,3.0
1038,1039,"However, it is our job to promote real facts.",3.0,3.0
1554,1555, There is an older man holding a pot of soup in front of an open refrigerator.,6.5,2.0
6635,6976, he/she is in ICU and is on a breathing tube.,6.0,5.0
9855,10196,This person's face has been mauled and cut open by a sharp object; they are unconscious from either the pain or numbing medication.,4.0,3.0
10799,11341," Long time ago, far away, a teenager was looking very upset.",5.0,7.0
10466,11008, This picture is very cute.,1.0,3.0
9376,9717, he was staring ahead and looked unobstructed.,2.5,2.0
5642,5983, He is wearing a diaper and is smiling right at the camera.,3.0,2.0
5237,5578, His lips are very red and stand out starkly.,5.0,2.0
7115,7456, Definitely judging their maturity.,4.0,5.0
2558,2559,a man is being placed in a police car after the police detained him.,7.0,3.0
3324,3325, It's very gory and bloody and slimy.,4.5,2.0
7044,7385, A woman is standing behind a man and screaming while looking upwards.,7.0,4.0
4322,4663," um, she's supposed to pay for that, no.",1.0,1.0
146,147, The baby is chubby.,7.0,1.0
4647,4988, Lighting is pretty dark.,7.0,1.0
1106,1107, a bit disturbing.,2.5,5.0
3204,3205, But also seems like they're on the top of a building which kinda scares me because it is high up.,2.5,2.5
7860,8201,"First of all, they are reducing the concept of facts into a matter of opinion ... which is really bad.",1.0,4.0
3010,3011,"I pay my bills on time, I have the loudest laugh in the room, I love even though I know love sometimes ends the hard way.  ",4.5,3.0
4751,5092, A man in a red shirt has his right hand around the throat of a female wearing a blue tank top.,7.0,2.5
6581,6922," 30 years ago, this masked figure's image was captured on camera.",6.0,7.0
10817,11359, She seems young and is surrounded by a soft blanket.,5.5,4.0
10814,11356," There is an African American man, who appears to be missing an eye, and surgery has been done to his chest are incredible.",5.5,4.0
3339,3340, She is laying on her window sill.,7.0,2.5
612,613, That's extremely bloody and scary!.,1.5,1.0
7395,7736, They are both sitting on a couch but she is sitting up.,6.0,1.0
4153,4494," This lady is on the phone, probably having a business conversation with a client, it seems like an important call.",4.0,2.0
4731,5072,"I do trust her,” Bilal told me in an email.",3.0,3.0
6350,6691,"Gui buys some of the clothing and accessories featured in her photos, though she says that expense has gone down over time as more brands will send her clothes for free.",4.0,5.0
826,827, there are two black man and one man is holding a gun to the other man's head and demanding/yelling at him.,6.0,1.5
3759,4100," kid sitting in closet in time out probably while woman (mom) standing over him pointing and probably telling him what he did wrong, kid looks ashamed like he knows what he did wrong.",1.0,5.0
9128,9469, A firefighter is carrying a woman out of a burning building with other firefighters help.,6.0,4.0
4321,4662, The woman's face cannot be seen.,7.0,1.0
9974,10516, There is a man holding a gun.,7.0,2.0
10020,10562," They are both immersed, one boy is sucking his fingers.",3.0,2.0
10792,11334," Several years ago, the woman was upset.",7.0,5.5
11126,12168, There is an old man in a suit and tie standing outside holding a violin or some other string instrument.,6.0,5.0
1996,1997, This situation was at least five years ago and occurred in a city that's not nearby.,4.5,6.0
10717,11259, The guy is smiling at the camera.,7.0,4.0
8108,8449, a person has hair covering their eyes.,6.0,3.0
2880,2881, he looks like he is yelling.,4.0,3.0
4552,4893, Cool tuft of hair too!.,1.0,1.0
10210,10752,The film industry in Madras made 124 films and 38 documentaries in the silent era.,6.0,6.5
7613,7954,"In some cases, they targeted undocumented people who had legally obtained drivers licenses in states where they are allowed to do so, a devastating bait and switch.",,1.0
1175,1176, the baby's hair is sticking up in tufts.,6.5,2.5
3170,3171, the man looks like he's part of an army and the child is afraid .,2.5,2.5
6108,6449, I am looking a serious looking girl who has blueish eyes.,1.0,
2926,2927, This person is dead and has been wounded.,5.0,3.0
7171,7512," his neck is being held by an officer, he looks frightened and angry.",1.0,1.0
2775,2776, I feel bad for him.,1.5,2.5
436,437, She has a yellow head wrap and the baby has a blue hat on.,7.0,1.0
285,286, White man is choking a white women while he hits her.,7.0,1.0
9113,9454, I wonder if the fight is violent or not.,5.0,5.0
10971,12013, Happy baby in his diaper.,6.0,1.0
